Altitude(ft),Download Speed,Lat,Lon,Upload Speed,Latency,Alt
20,52.378472,42.35017867,-71.10618252,60.931064,25,20
20,55.829144,42.35026867,-71.10618252,49.941784,29,20
20,74.251544,42.35025867,-71.10618252,49.213688,26,20
20,71.770184,42.35046867,-71.10618252,64.377376,30,20
20,38.07556,42.35045867,-71.10618252,62.249088,23,20
35,72.428648,42.35066867,-71.10618252,39.637424,57,35
35,17.958288,42.35016867,-71.10618252,52.625368,28,35
35,59.16352,42.35016867,-71.10618252,56.31616,31,35
35,51.928584,42.35016867,-71.10618252,59.354784,25,35
35,43.972232,42.35016867,-71.10618252,44.911264,30,35
50,35.338536,42.35016867,-71.10618252,40.214872,30,50
50,45.81104,42.35016867,-71.10618252,33.401808,22,50
50,17.921856,42.35016867,-71.10618252,3.989344,40,50
50,9.593128,42.35016867,-71.10618252,8.222248,32,50
50,7.780232,42.35016867,-71.10618252,6.506208,34,50
5,50.209056,42.35016867,-71.10618252,6.698232,30,5
5,47.830784,42.35016867,-71.10618252,6.589096,33,5
5,16.1776,42.35016867,-71.10618252,2.281648,32,5
5,73.149304,42.35016867,-71.10618252,3.627792,28,5
,,,,,,
5,67.251312,42.35324521,-71.11762402,32.817224,27,5
5,60.292984,42.35324521,-71.11762402,36.201528,27,5
5,106.101992,42.35324521,-71.11762402,47.514616,22,5
5,64.263552,42.35324521,-71.11762402,26.356608,26,5
5,58.159984,42.35324521,-71.11762402,21.758832,26,5
5,111.085904,42.35324521,-71.11762402,43.782704,25,5
5,82.910616,42.35324521,-71.11762402,34.234944,26,5
5,81.715072,42.35336822,-71.11735553,30.122304,18,5
5,89.329048,42.35330283,-71.11721788,33.03576,15,5
5,54.00792,42.35330283,-71.11721788,27.00528,19,5
,,,,,,
20,127.929152,42.35333115,-71.11733605,34.77328,22,20
20,63.582952,42.35333114,-71.11733605,48.861912,26,20
20,68.912336,42.35333113,-71.11733605,41.833104,25,20
20,55.746808,42.35333112,-71.11733605,20.988608,26,20
20,35.486704,42.35333111,-71.11733605,21.269752,34,20
20,82.71604,42.35333115,-71.11733605,59.880096,27,20
20,63.056936,42.35333115,-71.11733605,40.821928,25,20
20,52.83768,42.35333115,-71.11733605,51.343664,24,20
20,48.250064,42.35333115,-71.11733605,45.761736,24,20
20,42.959424,42.35333115,-71.11733605,28.102352,26,20
,,,,,,
65,18.093792,42.35380769,-71.1172137,14.804216,30,65
65,19.958576,42.35380768,-71.1172137,27.409704,29,65
65,71.28176,42.35380767,-71.1172137,34.947944,28,65
65,60.326024,42.35380766,-71.1172137,31.08892,26,65
65,54.802352,42.35380769,-71.1172137,26.608136,26,65
65,117.955608,42.35380769,-71.1172137,34.226216,25,65
65,102.599128,42.35380769,-71.1172137,30.163384,27,65
65,74.49356,42.35380769,-71.1172137,30.655432,25,65
65,66.281072,42.35380769,-71.1172137,27.729816,28,65
65,77.8234,42.35380769,-71.1172137,32.647352,23,65
,,,,,,
140,84.590536,42.35380769,-71.1172137,35.87596,25,140
140,36.50804,42.35380769,-71.1172137,22.784712,25,140
140,21.924448,42.35380769,-71.1172137,12.696872,28,140
140,47.055912,42.35380769,-71.1172137,29.238312,30,140
140,55.05716,42.35380769,-71.1172137,22.46612,23,140
140,8.717216,42.35309521,-71.11871104,20.034512,23,140
140,6.114736,42.35309521,-71.11871104,26.94704,25,140
140,19.470232,42.35309521,-71.11871104,23.223368,28,140
140,22.452136,42.35309521,-71.11871104,25.228512,25,140
140,13.231888,42.35309521,-71.11871104,28.01896,25,140
,,,,,,
215,3.742432,42.35309521,-71.11871104,9.153624,25,215
215,5.837664,42.35391834,-71.11669926,12.019832,28,215
215,26.53856,42.35391834,-71.11669926,6.911344,24,215
215,25.177464,42.35391834,-71.11669926,36.59548,25,215
215,20.144888,42.35391834,-71.11669926,23.057368,28,215
215,28.688088,42.35391834,-71.11669926,7.643016,30,215
215,45.207024,42.35391834,-71.11669926,13.980624,24,215
215,17.822424,42.35391834,-71.11669926,16.293304,28,215
215,17.715296,42.35391834,-71.11669926,12.406048,22,215
215,22.923832,42.35391834,-71.11669926,12.903096,25,215
,,,,,,
290,49.655072,42.35391834,-71.11669926,29.075648,27,290
290,31.785,42.35391834,-71.11669926,16.804568,24,290
290,20.43816,42.35391834,-71.11669926,9.1982,23,290
290,22.837136,42.35391834,-71.11669926,12.133944,26,290
290,21.166576,42.35391834,-71.11669926,25.090632,30,290
290,20.743752,42.35391834,-71.11669926,17.38288,22,290
290,22.613544,42.35391834,-71.11669926,17.494208,28,290
290,26.847136,42.35391834,-71.11669926,43.926304,29,290
290,43.147024,42.35391834,-71.11669926,14.376488,24,290
290,40.748688,42.35391834,-71.11669926,12.54132,25,290
,,,,,,
365,4.90248,42.35333371,-71.11780323,6.748544,25,365
365,1.39752,42.35333371,-71.11780323,16.041472,28,365
365,23.631744,42.35333371,-71.11780323,16.942512,28,365
365,14.709656,42.35333371,-71.11780323,20.327144,28,365
365,19.245136,42.35333371,-71.11780323,19.010352,31,365
365,15.163256,42.35333371,-71.11780323,12.991528,30,365
365,31.210504,42.35333371,-71.11780323,8.223272,26,365
365,25.313848,42.35333371,-71.11780323,18.919096,29,365
365,26.180016,42.35333371,-71.11780323,11.132048,25,365
365,20.0908,42.35333371,-71.11780323,9.932536,27,365
,,,,,,
380,17.8744,42.35354506,-71.11842026,7.212392,31,380
380,5.641528,42.35354506,-71.11842026,3.524472,29,380
380,2.629096,42.35354506,-71.11842026,3.93,33,380
380,2.091472,42.35354506,-71.11842026,7.388984,24,380
380,3.316792,42.35354506,-71.11842026,7.198264,26,380
380,2.38828,42.35354506,-71.11842026,0.397216,34,380
380,13.22964,42.35354506,-71.11842026,1.275952,30,380
380,50.307648,42.35354506,-71.11842026,13.456304,26,380
380,26.041976,42.35354506,-71.11842026,21.997648,25,380
380,7.622944,42.35354506,-71.11842026,10.914576,30,380
380,7.88532,42.35354506,-71.11842026,11.090592,24,380
380,4.056232,42.35354506,-71.11842026,6.320432,30,380
380,19.437288,42.35354506,-71.11842026,19.716744,28,380
380,12.018984,42.35354506,-71.11842026,18.880632,25,380
380,12.257312,42.35354506,-71.11842026,7.421576,22,380
,,,,,,
320,3.261776,42.35332275,-71.11760711,15.523808,27,320
320,7.124152,42.35332275,-71.11760711,12.278368,19,320
